Pasal,Isi,Bab,Bagian
Pasal 1,Menikmati hak-hak kewargaan tidak tergantung pada hak-hak kenegaraan.,Kitab Undang-Undang Hukum Perdata,Tidak terdapat Dalam Bagian
Pasal 2,"Anak yang ada dalam kandungan seorang perempuan dianggap telah lahir, setiap kali kepentingan si anak menghendakinya. Bila telah mati sewaktu dilahirkan, dia dianggap tidak pernah ada.",Kitab Undang-Undang Hukum Perdata,Tidak terdapat Dalam Bagian
Pasal 3,"Tiada suatu hukuman pun yang mengakibatkan kematian perdata, atau hilangnya segala hak- hak kewargaan.",Kitab Undang-Undang Hukum Perdata,Tidak terdapat Dalam Bagian
Pasal 4,"Tanpa mengurangi ketentuan dalam Pasal 10 Ketentuan-ketentuan Umum Perundang- undangan di Indonesia, maka bagi golongan Eropa di seluruh Indonesia ada daftar kelahiran, daftar lapor kawin, daftar izin kawin, daftar perkawinan dan perceraian, dan daftar kematian. Pegawai yang ditugaskan menyelenggarakan daftar-daftar tersebut, dinamakan Pegawai Catatan Sipil.",Akta-Akta Catatan Sipil,Daftar Catatan Sipil Pada Umumnya
Pasal 5,"Presiden, setelah mendengar Mahkamah Agung menentukan dengan peraturan tersendiri, tempat dan cara menyelenggarakan daftar-daftar tersebut, demikian pula cara menyusun akta- akta dan syarat-syarat yang harus diperhatikan. Dalam peraturan itu harus dicantumkan juga hukuman-hukuman terhadap pelanggaran-pelanggaran oleh Pegawai Catatan Sipil, sejauh hal",Acara Yang Harus Mendahului Perkawinan,Daftar Catatan Sipil Pada Umumnya
Pasal 5a,"Anak sah, dan juga anak tidak sah namun yang diakui oleh bapaknya, memakai nama keturunan bapaknya; anak-anak tidak sah yang tidak diakui oleh bapaknya, memakai nama keturunan ibunya.",Acara Yang Harus Mendahului Perkawinan,"Nama, Perubahan Nama, Dan Perubahan Nama Depan"
Pasal 5b,"Anak-anak tidak sah yang tidak diakui oleh bapaknya, memakai nama keturunan ibunya.",Acara Yang Harus Mendahului Perkawinan,"Nama, Perubahan Nama, Dan Perubahan Nama Depan"
Pasal 6,"Tak seorang pun diperbolehkan mengganti nama keturunannya, atau menambahkan nama lain pada namanya tanpa izin Presiden. Barang siapa nama tidak dikenal keturunan atau nama depannya, diperbolehkan mengambil suatu nama keturunan atau nama depan, asalkan dengan izin Presiden.",Acara Yang Harus Mendahului Perkawinan,"Nama, Perubahan Nama, Dan Perubahan Nama Depan"
Pasal 7,"Permohonan izin untuk itu tidak dapat dikabulkan sebelum habis jangka waktu empat bulan, terhitung mulai hari pemberitaan permohonan itu dalam Berita Negara.",Acara Yang Harus Mendahului Perkawinan,"Nama, Perubahan Nama, Dan Perubahan Nama Depan"
Pasal 8,"Selama jangka waktu tersebut dalam pasal yang lalu, pihak-pihak yang berkepentingan diperbolehkan mengemukakan kepada Presiden, dengan surat permohonan, dasar-dasar yang mereka anggap menjadi keberatan untuk menentang permohonan tersebut.",Acara Yang Harus Mendahului Perkawinan,"Nama, Perubahan Nama, Dan Perubahan Nama Depan"
